epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,9149.15,0.35422,0.22417,1.05097,0.99357,0.99604,0.99476,0.93563,0.3993,0.227,0.86398,6.9264e-05,6.9264e-05,6.9264e-05
42,9365.3,0.34452,0.21206,1.04497,0.99319,0.99775,0.99472,0.93905,0.39874,0.22299,0.8625,6.26706e-05,6.26706e-05,6.26706e-05
43,9581.04,0.33949,0.20307,1.03257,0.99436,0.998,0.99489,0.93976,0.39561,0.2177,0.85834,5.60772e-05,5.60772e-05,5.60772e-05
44,9796.13,0.33472,0.19805,1.0305,0.99489,0.99821,0.99496,0.94115,0.39385,0.21569,0.85603,4.94838e-05,4.94838e-05,4.94838e-05
45,10012,0.33205,0.19342,1.02934,0.99543,0.999,0.99497,0.94175,0.39229,0.21317,0.85551,4.28904e-05,4.28904e-05,4.28904e-05
46,10228.4,0.3256,0.18895,1.02722,0.99487,0.99814,0.99492,0.94195,0.39193,0.21161,0.8552,3.6297e-05,3.6297e-05,3.6297e-05
47,10444.7,0.32313,0.187,1.0216,0.99388,0.99745,0.99466,0.94227,0.38787,0.20692,0.85151,2.97036e-05,2.97036e-05,2.97036e-05
48,10661.7,0.32213,0.18279,1.02217,0.9926,0.99695,0.99451,0.94195,0.38855,0.20841,0.85126,2.31102e-05,2.31102e-05,2.31102e-05
49,10878,0.31675,0.18044,1.0186,0.99363,0.998,0.99478,0.94189,0.38819,0.20624,0.85101,1.65168e-05,1.65168e-05,1.65168e-05
50,11094.2,0.31416,0.17782,1.0175,0.99336,0.99802,0.99476,0.94297,0.38955,0.20642,0.85222,9.9234e-06,9.9234e-06,9.9234e-06
